protein1	protein2	combined_score
GENE_0186	TSC2	460
GENE_0142	GENE_0041	596
GENE_0001	GENE_0141	413
GENE_0169	GENE_0100	979
GENE_0009	GENE_0082	371
BRCA1	GENE_0071	324
GENE_0198	GENE_0182	725
GENE_0185	SMAD4	401
GENE_0014	GENE_0007	324
GENE_0038	GENE_0185	198
GENE_0092	GENE_0091	889
GENE_0072	GENE_0180	293
GENE_0166	GENE_0198	566
APC	GENE_0029	308
GENE_0192	GENE_0007	703
GENE_0156	GENE_0069	975
FANCA	GENE_0142	324
GENE_0065	GENE_0164	718
GENE_0062	GENE_0073	519
GENE_0078	GENE_0184	641
GENE_0175	GENE_0154	531
GENE_0030	GENE_0078	816
GENE_0009	GENE_0001	383
TSC2	RET	550
GENE_0166	GENE_0107	954
GENE_0165	GENE_0016	830
GENE_0129	GENE_0094	416
GENE_0108	GENE_0192	150
GENE_0125	GENE_0029	573
GENE_0112	GENE_0159	341
GENE_0027	GENE_0186	650
GENE_0166	GENE_0008	334
GENE_0061	GENE_0196	885
GENE_0183	GENE_0077	914
RET	GENE_0177	523
GENE_0020	GENE_0195	818
GENE_0163	GENE_0129	862
GENE_0189	GENE_0122	476
GENE_0080	GENE_0103	760
GENE_0139	GENE_0116	182
GENE_0056	GENE_0087	833
GENE_0183	GENE_0126	886
GENE_0162	GENE_0183	500
GENE_0140	GENE_0153	751
GENE_0132	GENE_0128	933
GENE_0040	GENE_0049	965
NF2	GENE_0022	432
GENE_0030	GENE_0033	385
GENE_0191	GENE_0097	423
GENE_0165	GENE_0147	471
GENE_0008	GENE_0199	368
GENE_0101	GENE_0148	781
MEN1	GENE_0170	171
GENE_0166	SMAD4	864
GENE_0186	GENE_0104	810
GENE_0031	GENE_0017	300
GENE_0101	GENE_0090	662
GENE_0099	GENE_0108	408
RECQL	GENE_0035	357
GENE_0075	GENE_0033	720
GENE_0097	GENE_0099	448
GENE_0019	BRCA1	343
GENE_0078	CDH1	839
MLH1	GENE_0103	866
GENE_0111	BARD1	213
GENE_0172	GENE_0023	386
GENE_0007	GENE_0074	721
GENE_0101	GENE_0008	912
GENE_0075	SMAD4	839
BRIP1	GENE_0092	396
GENE_0039	GENE_0083	756
GENE_0034	GENE_0013	163
GENE_0168	GENE_0140	431
GENE_0069	GENE_0126	730
GENE_0154	GENE_0018	536
GENE_0188	GENE_0076	647
GENE_0166	RECQL	709
TSC1	GENE_0106	651
PTEN	GENE_0163	370
GENE_0140	GENE_0195	738
GENE_0090	MSH2	841
GENE_0094	GENE_0050	232
GENE_0100	GENE_0155	997
GENE_0092	GENE_0009	889
GENE_0082	GENE_0065	637
GENE_0142	RAD51C	711
GENE_0099	GENE_0132	376
GENE_0005	GENE_0052	355
BRCA1	GENE_0130	695
GENE_0167	GENE_0132	493
GENE_0114	GENE_0134	251
GENE_0053	GENE_0157	939
TSC1	GENE_0190	669
GENE_0196	GENE_0121	972
GENE_0049	RAD51D	383
GENE_0124	BRIP1	589
PTEN	GENE_0088	886
GENE_0153	GENE_0016	474
GENE_0042	MUTYH	493
GENE_0027	GENE_0111	186
GENE_0066	GENE_0178	889
GENE_0009	GENE_0140	921
APC	GENE_0041	793
GENE_0124	GENE_0045	702
GENE_0158	GENE_0175	469
GENE_0025	GENE_0192	802
GENE_0194	GENE_0145	757
GENE_0090	GENE_0084	197
GENE_0035	GENE_0000	793
GENE_0199	GENE_0090	921
GENE_0065	GENE_0053	609
GENE_0119	BARD1	839
GENE_0026	GENE_0052	191
GENE_0131	RECQL	700
GENE_0089	NF2	831
GENE_0001	GENE_0192	352
CHEK2	GENE_0142	251
GENE_0184	BRCA1	216
GENE_0162	PALB2	255
GENE_0142	GENE_0004	239
GENE_0122	GENE_0181	797
GENE_0124	GENE_0112	435
GENE_0010	GENE_0150	411
GENE_0070	GENE_0158	937
GENE_0072	GENE_0027	548
GENE_0047	GENE_0069	564
GENE_0025	GENE_0112	732
GENE_0140	GENE_0142	395
GENE_0171	GENE_0067	726
GENE_0078	GENE_0025	855
GENE_0149	STK11	998
GENE_0041	GENE_0106	752
GENE_0182	GENE_0197	519
GENE_0027	TSC1	408
GENE_0097	GENE_0135	636
GENE_0136	GENE_0036	410
GENE_0147	GENE_0166	890
GENE_0133	GENE_0129	669
GENE_0145	GENE_0186	598
GENE_0111	NF2	305
GENE_0032	GENE_0146	646
GENE_0036	GENE_0034	825
GENE_0022	APC	368
GENE_0110	GENE_0135	162
GENE_0120	GENE_0122	280
GENE_0181	GENE_0068	235
GENE_0189	NF2	802
GENE_0101	GENE_0012	898
GENE_0125	GENE_0013	336
GENE_0097	GENE_0047	412
GENE_0151	GENE_0015	160
GENE_0150	GENE_0135	718
SMAD4	GENE_0030	572
GENE_0134	GENE_0104	524
GENE_0005	GENE_0126	947
GENE_0076	GENE_0092	409
GENE_0050	GENE_0040	531
GENE_0186	GENE_0016	181
GENE_0128	GENE_0009	841
ATM	TSC2	670
GENE_0037	GENE_0109	626
GENE_0096	GENE_0174	238
GENE_0048	PALB2	438
GENE_0137	GENE_0186	800
GENE_0147	GENE_0127	198
GENE_0012	GENE_0112	976
GENE_0063	GENE_0191	452
GENE_0184	GENE_0136	504
GENE_0035	GENE_0081	680
GENE_0100	GENE_0141	649
GENE_0124	GENE_0174	645
GENE_0198	GENE_0175	758
GENE_0118	GENE_0034	882
GENE_0001	BRCA1	707
GENE_0117	FANCA	744
GENE_0068	GENE_0050	659
GENE_0182	GENE_0111	203
GENE_0011	GENE_0130	583
GENE_0128	GENE_0065	586
TP53	GENE_0187	719
GENE_0036	GENE_0168	655
MLH1	GENE_0012	637
GENE_0052	GENE_0168	449
GENE_0159	GENE_0198	675
GENE_0099	GENE_0107	874
GENE_0171	GENE_0096	260
GENE_0007	GENE_0170	988
GENE_0074	GENE_0106	350
FANCD2	GENE_0052	326
GENE_0011	GENE_0134	672
GENE_0105	GENE_0147	172
GENE_0096	GENE_0010	254
GENE_0115	GENE_0010	373
STK11	GENE_0043	836
GENE_0072	GENE_0074	953
GENE_0121	GENE_0078	967
GENE_0064	GENE_0091	282
ATM	GENE_0163	456
GENE_0176	STK11	929
GENE_0187	GENE_0093	754
GENE_0185	GENE_0115	625
GENE_0185	GENE_0127	431
GENE_0004	GENE_0160	780
GENE_0152	GENE_0138	857
GENE_0138	GENE_0160	703
GENE_0022	GENE_0069	930
GENE_0056	GENE_0034	234
GENE_0193	MEN1	436
GENE_0021	GENE_0164	685
EPCAM	GENE_0063	320
GENE_0041	GENE_0159	908
GENE_0110	GENE_0139	523
GENE_0119	BRIP1	525
GENE_0173	GENE_0159	876
GENE_0093	GENE_0199	947
GENE_0191	STK11	919
GENE_0126	GENE_0171	983
GENE_0077	GENE_0001	642
GENE_0056	GENE_0053	773
GENE_0118	GENE_0008	723
GENE_0184	STK11	709
NBN	MUTYH	895
GENE_0037	GENE_0144	473
GENE_0087	GENE_0180	890
GENE_0139	ATM	322
GENE_0164	GENE_0198	638
GENE_0155	GENE_0112	817
GENE_0025	GENE_0008	225
GENE_0199	GENE_0131	267
GENE_0021	GENE_0016	744
GENE_0134	GENE_0056	547
MUTYH	GENE_0126	574
GENE_0034	GENE_0069	990
GENE_0042	GENE_0157	995
STK11	GENE_0042	724
GENE_0140	GENE_0132	934
GENE_0188	GENE_0071	556
GENE_0133	GENE_0085	604
GENE_0133	NBN	724
GENE_0107	GENE_0136	733
GENE_0133	GENE_0115	978
VHL	RAD51C	825
GENE_0128	GENE_0023	390
GENE_0156	GENE_0134	907
GENE_0025	GENE_0013	698
GENE_0072	GENE_0150	316
GENE_0088	GENE_0068	165
GENE_0033	GENE_0178	724
GENE_0153	GENE_0199	867
GENE_0137	GENE_0027	856
GENE_0081	GENE_0178	708
GENE_0057	NBN	371
GENE_0148	GENE_0090	495
GENE_0036	GENE_0140	548
GENE_0036	GENE_0050	390
GENE_0091	MSH2	170
GENE_0156	CDH1	197
GENE_0119	GENE_0186	614
MLH1	GENE_0044	294
GENE_0103	GENE_0065	960
GENE_0195	GENE_0029	227
GENE_0047	GENE_0001	449
GENE_0053	RECQL	607
GENE_0064	GENE_0105	477
GENE_0063	GENE_0187	295
GENE_0089	CDH1	457
GENE_0017	GENE_0158	995
GENE_0007	GENE_0063	492
GENE_0152	GENE_0001	563
GENE_0096	GENE_0170	720
GENE_0175	GENE_0119	243
GENE_0163	GENE_0081	381
BRCA2	GENE_0092	994
GENE_0154	NF2	261
GENE_0130	GENE_0096	781
NBN	GENE_0049	731
GENE_0135	GENE_0182	770
GENE_0169	FANCD2	480
EPCAM	GENE_0138	628
GENE_0133	GENE_0147	633
GENE_0025	GENE_0181	998
GENE_0026	MSH2	431
GENE_0085	GENE_0094	754
GENE_0070	GENE_0186	603
GENE_0078	RAD51C	686
GENE_0035	GENE_0192	773
GENE_0082	GENE_0044	354
RAD51C	GENE_0196	198
NBN	GENE_0014	431
GENE_0177	GENE_0199	633
GENE_0001	MUTYH	206
GENE_0045	MLH1	658
GENE_0023	GENE_0106	823
GENE_0004	EPCAM	773
GENE_0105	GENE_0114	329
GENE_0116	GENE_0094	354
GENE_0110	GENE_0090	645
TP53	RECQL	200
GENE_0101	GENE_0093	706
GENE_0156	GENE_0183	674
GENE_0191	GENE_0197	992
GENE_0080	PALB2	922
GENE_0141	GENE_0021	530
GENE_0123	GENE_0007	507
GENE_0060	GENE_0094	315
GENE_0058	MLH1	642
GENE_0120	GENE_0144	684
GENE_0170	GENE_0156	237
NBN	GENE_0058	243
GENE_0175	BARD1	577
GENE_0045	GENE_0064	443
STK11	GENE_0011	501
GENE_0093	NBN	249
GENE_0070	GENE_0018	953
GENE_0176	GENE_0000	764
GENE_0168	GENE_0153	217
GENE_0093	GENE_0014	217
PALB2	GENE_0089	893
GENE_0015	GENE_0091	797
GENE_0149	GENE_0042	608
GENE_0059	GENE_0024	189
GENE_0110	GENE_0172	437
GENE_0148	GENE_0076	471
GENE_0106	GENE_0153	807
GENE_0057	CDH1	201
TSC2	GENE_0125	579
TSC2	GENE_0076	530
GENE_0032	GENE_0119	474
GENE_0109	GENE_0067	591
GENE_0088	MLH1	260
GENE_0176	GENE_0189	679
GENE_0059	GENE_0123	654
GENE_0140	GENE_0074	679
GENE_0178	GENE_0197	577
GENE_0008	GENE_0157	338
GENE_0002	FANCA	732
GENE_0023	GENE_0074	525
GENE_0112	GENE_0047	391
GENE_0168	GENE_0019	258
GENE_0103	GENE_0074	166
GENE_0182	GENE_0118	844
GENE_0035	GENE_0020	549
GENE_0055	GENE_0006	632
GENE_0178	GENE_0048	226
GENE_0182	GENE_0115	999
GENE_0011	GENE_0118	907
GENE_0046	GENE_0152	400
GENE_0085	GENE_0082	434
GENE_0170	BRCA2	866
GENE_0064	GENE_0184	953
GENE_0178	GENE_0040	206
GENE_0159	GENE_0023	825
VHL	GENE_0168	388
GENE_0117	TSC2	939
GENE_0196	GENE_0195	976
FANCD2	GENE_0018	195
GENE_0148	GENE_0019	302
GENE_0019	GENE_0084	891
MEN1	GENE_0009	771
GENE_0059	GENE_0020	678
GENE_0116	GENE_0132	627
GENE_0173	STK11	510
GENE_0147	GENE_0027	262
NBN	GENE_0047	401
CDH1	GENE_0049	494
GENE_0040	GENE_0060	864
GENE_0150	GENE_0126	929
GENE_0172	GENE_0198	886
RAD51C	GENE_0015	496
GENE_0000	GENE_0032	302
GENE_0005	GENE_0190	470
GENE_0185	GENE_0096	301
GENE_0092	GENE_0074	210
GENE_0053	GENE_0014	908
GENE_0113	GENE_0131	317
GENE_0181	GENE_0063	644
GENE_0124	GENE_0041	201
GENE_0151	GENE_0087	882
GENE_0172	GENE_0102	613
GENE_0143	GENE_0003	727
GENE_0113	GENE_0109	158
GENE_0127	GENE_0123	328
GENE_0062	GENE_0117	867
GENE_0095	GENE_0164	355
GENE_0054	GENE_0073	629
GENE_0134	GENE_0167	861
GENE_0087	GENE_0035	350
GENE_0149	GENE_0094	392
GENE_0091	GENE_0117	340
GENE_0126	GENE_0189	936
GENE_0013	GENE_0182	220
TP53	GENE_0048	207
GENE_0073	GENE_0025	217
GENE_0123	GENE_0172	496
GENE_0084	GENE_0140	388
MUTYH	GENE_0145	987
GENE_0077	GENE_0192	930
GENE_0007	GENE_0066	675
GENE_0107	GENE_0192	555
RECQL	GENE_0045	337
GENE_0095	GENE_0165	465
GENE_0102	GENE_0144	364
GENE_0175	GENE_0008	686
GENE_0173	GENE_0086	468
GENE_0164	GENE_0085	941
GENE_0002	GENE_0095	254
GENE_0164	GENE_0143	167
GENE_0089	GENE_0093	787
GENE_0019	GENE_0161	988
GENE_0000	GENE_0039	716
GENE_0066	GENE_0043	453
GENE_0175	GENE_0171	454
GENE_0131	GENE_0157	201
GENE_0077	GENE_0164	869
GENE_0141	GENE_0025	714
GENE_0080	GENE_0165	630
TSC2	GENE_0025	743
GENE_0134	GENE_0089	285
GENE_0111	GENE_0005	195
NF1	GENE_0106	656
RET	GENE_0166	765
GENE_0083	GENE_0019	731
GENE_0150	NBN	448
GENE_0114	GENE_0073	902
GENE_0137	GENE_0172	820
GENE_0016	GENE_0110	484
BRCA1	GENE_0027	374
GENE_0021	GENE_0111	654
GENE_0056	MUTYH	959
GENE_0174	GENE_0089	277
GENE_0103	GENE_0133	613
GENE_0193	EPCAM	849
GENE_0163	GENE_0174	271
GENE_0014	GENE_0198	919
GENE_0170	GENE_0144	616
GENE_0114	NF1	236
GENE_0179	PTEN	728
GENE_0060	GENE_0088	464
GENE_0017	GENE_0111	765
CHEK2	GENE_0145	452
NBN	GENE_0101	361
GENE_0178	GENE_0186	918
MEN1	GENE_0125	543
GENE_0124	GENE_0009	877
GENE_0022	GENE_0001	536
GENE_0070	GENE_0008	814
GENE_0082	MSH2	943
GENE_0179	GENE_0006	560
GENE_0199	GENE_0058	263
GENE_0028	GENE_0086	199
GENE_0040	GENE_0149	255
GENE_0067	GENE_0075	830
GENE_0035	GENE_0006	761
GENE_0067	GENE_0031	705
GENE_0026	FANCA	602
GENE_0135	GENE_0186	583
GENE_0148	GENE_0087	920
GENE_0090	GENE_0153	458
GENE_0143	TSC1	811
GENE_0093	GENE_0178	673
GENE_0149	MEN1	335
GENE_0085	GENE_0168	351
GENE_0125	GENE_0128	819
GENE_0072	GENE_0057	675
GENE_0032	GENE_0083	637
GENE_0176	GENE_0107	497
GENE_0090	GENE_0126	585
GENE_0149	GENE_0143	174
GENE_0140	GENE_0101	597
GENE_0104	GENE_0011	527
GENE_0026	MUTYH	312
GENE_0021	GENE_0071	386
GENE_0004	GENE_0065	587
GENE_0157	GENE_0153	602
GENE_0038	GENE_0176	338
GENE_0149	TSC2	512
GENE_0036	GENE_0192	650
GENE_0065	GENE_0158	402
BRCA2	GENE_0072	849
GENE_0094	GENE_0082	821
GENE_0004	GENE_0053	282
GENE_0146	GENE_0082	942
GENE_0007	GENE_0178	470
CDH1	GENE_0087	471
GENE_0141	GENE_0097	888
GENE_0142	GENE_0049	457
GENE_0063	GENE_0130	668
GENE_0024	GENE_0080	919
GENE_0103	GENE_0075	989
GENE_0124	EPCAM	902
GENE_0028	GENE_0050	952
RAD51D	GENE_0192	934
GENE_0156	GENE_0087	287
GENE_0099	GENE_0081	871
GENE_0148	GENE_0100	698
GENE_0193	GENE_0075	774
RET	GENE_0083	716
TSC1	GENE_0159	747
GENE_0114	GENE_0136	628
GENE_0144	GENE_0195	732
GENE_0095	GENE_0196	712
GENE_0126	GENE_0160	404
GENE_0139	GENE_0021	262
MSH2	GENE_0193	870
RECQL	GENE_0004	616
GENE_0054	GENE_0092	654
GENE_0156	GENE_0048	333
GENE_0187	GENE_0090	414
GENE_0045	GENE_0016	299
GENE_0171	GENE_0000	843
GENE_0172	GENE_0003	189
GENE_0064	GENE_0166	634
GENE_0070	GENE_0023	496
RET	GENE_0171	801
NBN	GENE_0163	574
STK11	GENE_0120	992
GENE_0140	GENE_0112	604
GENE_0075	GENE_0187	957
GENE_0076	ATM	817
GENE_0112	BRCA1	176
GENE_0122	GENE_0198	376
GENE_0144	GENE_0124	735
GENE_0135	GENE_0006	591
GENE_0199	GENE_0026	204
GENE_0142	GENE_0148	979
GENE_0131	GENE_0115	958
GENE_0048	RAD51D	959
GENE_0094	GENE_0169	477
MUTYH	GENE_0134	588
GENE_0096	GENE_0168	172
GENE_0088	GENE_0027	678
GENE_0116	GENE_0035	709
GENE_0009	GENE_0041	434
NF1	GENE_0066	794
GENE_0141	GENE_0105	367
GENE_0085	GENE_0084	581
GENE_0169	GENE_0073	453
GENE_0066	GENE_0002	946
GENE_0116	GENE_0125	373
GENE_0153	GENE_0174	736
GENE_0160	GENE_0042	169
NBN	GENE_0044	758
GENE_0088	GENE_0081	822
GENE_0162	GENE_0009	895
GENE_0135	GENE_0192	289
GENE_0120	GENE_0077	818
GENE_0122	GENE_0055	959
GENE_0148	GENE_0165	927
GENE_0009	GENE_0005	286
GENE_0015	GENE_0071	372
GENE_0077	GENE_0131	440
GENE_0160	GENE_0010	188
EPCAM	GENE_0081	214
GENE_0185	GENE_0043	739
GENE_0104	GENE_0183	628
GENE_0101	GENE_0147	707
GENE_0045	GENE_0113	954
GENE_0141	GENE_0076	865
GENE_0014	GENE_0101	977
GENE_0102	GENE_0141	325
CDH1	RAD51D	741
GENE_0118	GENE_0052	832
GENE_0046	GENE_0140	686
GENE_0070	GENE_0182	271
GENE_0091	GENE_0138	790
GENE_0085	GENE_0122	349
GENE_0151	GENE_0060	467
GENE_0159	GENE_0126	151
GENE_0066	GENE_0102	232
GENE_0031	GENE_0084	947
GENE_0051	NF2	279
GENE_0147	GENE_0001	555
GENE_0091	GENE_0121	520
GENE_0035	GENE_0058	157
GENE_0025	GENE_0157	999
GENE_0064	GENE_0057	230
GENE_0004	NF1	672
GENE_0117	CDH1	773
GENE_0199	GENE_0028	987
TSC1	GENE_0020	162
MUTYH	NF2	479
MSH2	GENE_0109	694
GENE_0154	GENE_0099	258
BRCA2	GENE_0101	489
GENE_0125	BRCA1	505
BARD1	GENE_0169	222
GENE_0013	GENE_0122	428
GENE_0038	GENE_0179	259
GENE_0089	GENE_0074	654
GENE_0064	GENE_0196	575
GENE_0145	GENE_0055	758
GENE_0075	GENE_0077	244
GENE_0089	GENE_0158	391
GENE_0062	GENE_0176	807
GENE_0151	GENE_0082	457
GENE_0043	GENE_0124	844
RAD51C	GENE_0059	902
GENE_0073	GENE_0121	593
GENE_0187	GENE_0069	388
GENE_0106	TP53	718
GENE_0048	GENE_0072	773
NF1	GENE_0139	841
GENE_0079	GENE_0132	155
GENE_0163	GENE_0178	609
GENE_0111	GENE_0101	928
GENE_0023	FANCD2	548
GENE_0176	GENE_0156	983
NBN	GENE_0142	995
GENE_0113	GENE_0130	668
GENE_0192	GENE_0014	771
GENE_0158	GENE_0121	338
MUTYH	GENE_0034	816
GENE_0073	GENE_0180	560
EPCAM	GENE_0121	646
MUTYH	GENE_0192	835
GENE_0127	GENE_0175	945
GENE_0143	GENE_0006	951
GENE_0061	GENE_0155	360
FANCD2	GENE_0012	922
GENE_0196	BRCA1	765
GENE_0029	GENE_0107	196
GENE_0132	GENE_0176	556
GENE_0019	GENE_0095	498
GENE_0002	GENE_0029	917
GENE_0057	GENE_0060	515
GENE_0104	GENE_0163	367
GENE_0191	GENE_0114	474
GENE_0000	GENE_0148	508
GENE_0071	GENE_0157	846
GENE_0149	GENE_0060	664
CDH1	GENE_0071	281
GENE_0195	GENE_0047	405
GENE_0059	GENE_0031	851
NBN	GENE_0198	610
GENE_0119	GENE_0044	528
GENE_0103	GENE_0101	238
GENE_0159	GENE_0053	313
PALB2	CDH1	445
GENE_0097	GENE_0054	545
GENE_0062	BRCA2	919
GENE_0187	GENE_0184	942
GENE_0147	BRCA2	544
GENE_0087	GENE_0011	228
GENE_0180	GENE_0085	475
GENE_0084	GENE_0127	699
GENE_0079	GENE_0098	669
GENE_0080	GENE_0181	552
GENE_0171	GENE_0057	368
APC	GENE_0011	428
GENE_0054	GENE_0035	494
GENE_0131	GENE_0121	467
GENE_0191	GENE_0003	741
GENE_0018	GENE_0094	607
GENE_0013	GENE_0006	286
GENE_0140	GENE_0110	714
GENE_0037	GENE_0004	390
GENE_0020	GENE_0183	863
GENE_0118	GENE_0036	786
GENE_0121	NBN	538
GENE_0009	GENE_0102	357
GENE_0132	NBN	854
GENE_0133	GENE_0096	974
GENE_0105	GENE_0073	772
GENE_0192	GENE_0051	155
GENE_0127	GENE_0141	432
GENE_0006	GENE_0153	496
GENE_0146	GENE_0050	422
GENE_0053	EPCAM	667
GENE_0168	TSC1	713
GENE_0099	GENE_0054	612
GENE_0012	GENE_0054	760
GENE_0132	BRIP1	528
GENE_0105	GENE_0036	915
GENE_0005	GENE_0128	338
GENE_0146	GENE_0193	554
GENE_0090	RECQL	627
NBN	GENE_0177	918
GENE_0024	ATM	665
GENE_0014	GENE_0096	748
GENE_0008	GENE_0060	828
GENE_0140	GENE_0067	588
GENE_0027	GENE_0113	590
GENE_0186	GENE_0059	755
GENE_0026	PALB2	921
GENE_0197	GENE_0007	371
GENE_0002	GENE_0139	209
GENE_0078	GENE_0032	482
GENE_0179	CHEK2	316
GENE_0170	RECQL	677
GENE_0055	GENE_0026	985
GENE_0179	GENE_0088	756
GENE_0075	GENE_0147	611
GENE_0118	GENE_0112	778
GENE_0074	NF1	655
GENE_0155	GENE_0070	504
GENE_0086	GENE_0085	668
GENE_0172	ATM	586
GENE_0142	GENE_0076	810
VHL	GENE_0158	246
FANCA	PTEN	793
GENE_0187	GENE_0060	302
GENE_0038	GENE_0165	714
GENE_0022	BRCA2	605
GENE_0191	GENE_0099	893
GENE_0011	GENE_0176	503
GENE_0183	GENE_0046	202
GENE_0109	STK11	869
GENE_0059	SMAD4	522
GENE_0144	GENE_0166	831
GENE_0032	GENE_0012	643
GENE_0019	GENE_0105	221
GENE_0007	GENE_0104	493
GENE_0069	GENE_0195	341
MUTYH	GENE_0167	799
GENE_0176	GENE_0100	403
GENE_0112	GENE_0074	972
GENE_0133	GENE_0167	781
GENE_0173	GENE_0083	478
NF2	GENE_0046	403
GENE_0122	GENE_0005	193
GENE_0000	GENE_0034	558
GENE_0075	GENE_0152	981
GENE_0068	GENE_0029	205
GENE_0048	GENE_0124	249
GENE_0011	GENE_0159	178
GENE_0171	GENE_0142	493
GENE_0128	GENE_0008	447
GENE_0036	GENE_0176	216
FANCD2	GENE_0120	207
GENE_0149	GENE_0128	863
GENE_0020	GENE_0102	587
GENE_0145	GENE_0002	921
GENE_0052	GENE_0067	703
GENE_0118	GENE_0149	868
GENE_0062	GENE_0091	457
GENE_0155	GENE_0182	966
RECQL	GENE_0197	317
GENE_0059	GENE_0044	784
GENE_0005	GENE_0141	856
GENE_0107	GENE_0049	783
GENE_0143	GENE_0000	913
GENE_0046	GENE_0132	702
GENE_0005	GENE_0101	403
GENE_0090	GENE_0134	678
GENE_0120	GENE_0034	986
GENE_0176	GENE_0004	286
GENE_0063	GENE_0084	579
GENE_0109	GENE_0181	629
GENE_0005	GENE_0125	776
MLH1	GENE_0048	967
GENE_0072	GENE_0182	914
GENE_0175	CHEK2	970
GENE_0020	GENE_0135	280
GENE_0050	GENE_0086	488
GENE_0079	GENE_0024	499
GENE_0135	GENE_0060	584
STK11	ATM	998
GENE_0190	GENE_0125	514
GENE_0151	RECQL	436
GENE_0088	GENE_0071	458
GENE_0010	GENE_0004	938
GENE_0067	TSC2	377
GENE_0182	APC	431
GENE_0176	GENE_0138	934
GENE_0127	GENE_0057	495
GENE_0004	MUTYH	862
GENE_0097	GENE_0155	498
GENE_0124	GENE_0095	777
GENE_0124	GENE_0069	912
RAD51D	GENE_0120	307
GENE_0005	GENE_0051	597
GENE_0114	TSC2	206
GENE_0143	GENE_0106	635
BRCA2	GENE_0070	431
GENE_0143	GENE_0186	695
GENE_0155	GENE_0091	486
GENE_0029	GENE_0197	918
GENE_0034	GENE_0169	179
GENE_0002	GENE_0089	920
GENE_0014	BARD1	200
GENE_0185	GENE_0014	525
FANCD2	MUTYH	862
GENE_0148	NF1	164
GENE_0008	GENE_0187	345
GENE_0169	GENE_0096	218
BRCA1	MEN1	712
FANCA	GENE_0084	331
GENE_0085	GENE_0049	207
GENE_0026	GENE_0035	608
GENE_0079	GENE_0123	771
GENE_0168	GENE_0188	507
GENE_0182	GENE_0012	833
GENE_0092	GENE_0041	835
GENE_0042	GENE_0176	361
GENE_0148	GENE_0186	588
GENE_0064	GENE_0076	705
GENE_0128	GENE_0137	285
PALB2	GENE_0096	428
GENE_0073	GENE_0187	165
GENE_0147	MUTYH	508
GENE_0166	GENE_0121	506
GENE_0187	GENE_0092	279
GENE_0068	GENE_0042	585
GENE_0018	MEN1	920
MUTYH	TP53	284
GENE_0008	GENE_0067	268
GENE_0129	GENE_0162	394
GENE_0181	GENE_0039	836
GENE_0053	GENE_0003	234
GENE_0072	GENE_0127	745
GENE_0046	GENE_0082	164
GENE_0152	GENE_0035	344
GENE_0159	GENE_0156	803
GENE_0002	GENE_0135	815
GENE_0011	GENE_0047	631
RET	GENE_0089	273
GENE_0137	GENE_0034	344
GENE_0117	GENE_0184	499
GENE_0082	GENE_0019	349
GENE_0159	GENE_0071	921
GENE_0156	GENE_0092	841
GENE_0163	GENE_0110	307
GENE_0139	GENE_0049	164
TSC2	GENE_0142	529
GENE_0018	GENE_0084	184
GENE_0154	GENE_0043	852
GENE_0127	GENE_0049	522
GENE_0195	GENE_0076	822
GENE_0007	GENE_0180	170
NF2	RET	466
BRCA2	GENE_0021	989
GENE_0086	GENE_0189	658
FANCA	PALB2	218
GENE_0020	GENE_0121	504
GENE_0050	GENE_0135	343
GENE_0093	RAD51D	214
GENE_0142	GENE_0113	355
TSC1	TP53	649
GENE_0050	GENE_0020	956
RET	GENE_0150	898
GENE_0195	GENE_0163	328
GENE_0048	GENE_0141	788
GENE_0034	PALB2	550
GENE_0015	GENE_0140	198
GENE_0001	GENE_0180	521
MLH1	GENE_0188	314
GENE_0069	GENE_0136	951
GENE_0179	GENE_0113	869
GENE_0051	GENE_0126	552
GENE_0191	GENE_0026	851
MLH1	GENE_0168	295
GENE_0018	GENE_0186	688
GENE_0150	GENE_0177	489
GENE_0113	RAD51D	801
GENE_0060	GENE_0048	198
GENE_0137	GENE_0024	663
GENE_0069	GENE_0080	814
GENE_0002	GENE_0074	887
GENE_0132	GENE_0125	635
GENE_0148	STK11	683
GENE_0013	GENE_0155	165
GENE_0068	GENE_0127	225
GENE_0031	GENE_0135	639
GENE_0169	GENE_0150	682
GENE_0108	GENE_0048	330
GENE_0189	GENE_0052	379
GENE_0081	GENE_0159	188
GENE_0068	GENE_0141	614
GENE_0119	GENE_0024	793
GENE_0116	GENE_0078	680
GENE_0092	GENE_0064	413
BRCA2	GENE_0128	524
GENE_0063	GENE_0024	820
GENE_0168	GENE_0072	793
GENE_0063	GENE_0147	339
GENE_0058	NF1	497
GENE_0094	GENE_0173	441
GENE_0115	BRCA1	526
GENE_0160	GENE_0146	680
GENE_0069	GENE_0172	502
GENE_0023	GENE_0021	153
GENE_0197	GENE_0134	568
GENE_0121	BARD1	497
GENE_0100	GENE_0073	246
GENE_0166	GENE_0140	600
GENE_0044	GENE_0089	772
GENE_0032	RET	738
GENE_0123	GENE_0030	945
GENE_0110	GENE_0029	781
GENE_0023	GENE_0118	571
GENE_0008	GENE_0004	327
GENE_0018	GENE_0159	970
GENE_0016	GENE_0130	243
GENE_0053	GENE_0164	683
GENE_0010	EPCAM	535
GENE_0169	GENE_0074	780
GENE_0088	GENE_0104	972
GENE_0003	GENE_0063	903
GENE_0055	GENE_0142	706
GENE_0004	GENE_0046	286
MLH1	GENE_0116	328
GENE_0117	GENE_0099	203
GENE_0059	GENE_0164	363
RAD51C	GENE_0017	250
GENE_0151	GENE_0157	238
